episode,episode_seed,return,epsilon,replay_size,total_steps,episode_updates,mean_loss,elapsed_sec,difficulty,wall_obstacles,max_steps,box_speed
58,57,1933.000000,0.461512,56683,56683,1000,28.62892086,1038.51,3,1,1000,2
59,58,-5984.000000,0.452012,57683,57683,1000,28.95208111,1062.58,3,1,1000,2
60,59,-15026.000000,0.442512,58683,58683,1000,29.46059910,1082.86,3,1,1000,2
61,60,-712.000000,0.433012,59683,59683,1000,29.88756533,1104.15,3,1,1000,2
62,61,-5081.000000,0.423512,60683,60683,1000,30.39261193,1125.19,3,1,1000,2
63,62,-15662.000000,0.414012,61683,61683,1000,30.85269330,1146.04,3,1,1000,2
64,63,1190.000000,0.404512,62683,62683,1000,31.43483081,1167.85,3,1,1000,2
65,64,-8023.000000,0.395012,63683,63683,1000,32.15481658,1189.20,3,1,1000,2
66,65,-11453.000000,0.385512,64683,64683,1000,32.19755083,1210.02,3,1,1000,2
67,66,-19652.000000,0.376012,65683,65683,1000,31.76074862,1243.51,3,1,1000,2
68,67,1509.000000,0.366511,66683,66683,1000,31.31258915,1269.83,3,1,1000,2
69,68,4821.000000,0.359510,67420,67420,737,31.03310028,1286.03,3,1,1000,2
70,69,-718.000000,0.350010,68420,68420,1000,30.85417201,1311.48,3,1,1000,2
71,70,-1306.000000,0.340510,69420,69420,1000,30.77075575,1333.78,3,1,1000,2
72,71,1424.000000,0.331010,70420,70420,1000,30.77303246,1356.46,3,1,1000,2
73,72,-2798.000000,0.321510,71420,71420,1000,30.01383200,1378.94,3,1,1000,2
74,73,-7116.000000,0.312010,72420,72420,1000,30.64222279,1401.10,3,1,1000,2
75,74,-1028.000000,0.302510,73420,73420,1000,30.98391146,1423.19,3,1,1000,2
76,75,-857.000000,0.293010,74420,74420,1000,31.20554274,1445.10,3,1,1000,2
77,76,-5019.000000,0.283510,75420,75420,1000,30.98909692,1467.36,3,1,1000,2
78,77,-15874.000000,0.274010,76420,76420,1000,31.32028363,1489.37,3,1,1000,2
79,78,-17829.000000,0.266458,77215,77215,795,31.14072044,1507.13,3,1,1000,2
80,79,-1713.000000,0.256958,78215,78215,1000,31.39975167,1529.10,3,1,1000,2
81,80,-1086.000000,0.247457,79215,79215,1000,31.65399726,1551.63,3,1,1000,2
82,81,-11073.000000,0.237958,80215,80215,1000,31.85700749,1574.43,3,1,1000,2
83,82,-3771.000000,0.228457,81215,81215,1000,31.73199989,1597.07,3,1,1000,2
84,83,-1757.000000,0.218958,82215,82215,1000,31.45527750,1619.81,3,1,1000,2
85,84,3346.000000,0.214483,82686,82686,471,31.44489491,1630.88,3,1,1000,2
86,85,-39712.000000,0.204983,83686,83686,1000,30.90533242,1652.56,3,1,1000,2
87,86,-4624.000000,0.195483,84686,84686,1000,30.31284376,1675.45,3,1,1000,2
88,87,-6837.000000,0.185983,85686,85686,1000,29.71195422,1698.18,3,1,1000,2
89,88,-2276.000000,0.176483,86686,86686,1000,29.28946821,1720.42,3,1,1000,2
90,89,-1668.000000,0.168883,87486,87486,800,28.43578282,1738.46,3,1,1000,2
91,90,731.000000,0.163250,88079,88079,593,28.35351182,1751.83,3,1,1000,2
92,91,2080.000000,0.158500,88579,88579,500,28.53786954,1763.35,3,1,1000,2
93,92,-6246.000000,0.149000,89579,89579,1000,28.05657330,1785.98,3,1,1000,2
94,93,-17481.000000,0.139500,90579,90579,1000,28.06040149,1809.07,3,1,1000,2
95,94,-9048.000000,0.130000,91579,91579,1000,27.74858125,1831.56,3,1,1000,2
96,95,-3158.000000,0.120500,92579,92579,1000,28.70263330,1854.21,3,1,1000,2
97,96,3705.000000,0.114534,93207,93207,628,28.36701051,1868.95,3,1,1000,2
98,97,3719.000000,0.105034,94207,94207,1000,28.27450106,1892.17,3,1,1000,2
99,98,4459.000000,0.095534,95207,95207,1000,28.73938940,1915.44,3,1,1000,2
100,99,-17064.000000,0.086034,96207,96207,1000,28.41969537,1939.13,3,1,1000,2
101,100,393.000000,0.076534,97207,97207,1000,28.60479688,1963.15,3,1,1000,2
102,101,3977.000000,0.067034,98207,98207,1000,28.58818390,1986.72,3,1,1000,2
103,102,5568.000000,0.059054,99047,99047,840,28.46566809,2006.37,3,1,1000,2
104,103,2619.000000,0.050000,100000,100047,1000,28.73798255,2029.52,3,1,1000,2
105,104,3587.000000,0.050000,100000,101047,1000,28.33738798,2052.75,3,1,1000,2
106,105,3470.000000,0.050000,100000,102047,1000,28.35890482,2076.16,3,1,1000,2
107,106,1988.000000,0.050000,100000,103047,1000,28.32704327,2099.20,3,1,1000,2
108,107,-877.000000,0.050000,100000,104047,1000,28.34252085,2122.41,3,1,1000,2
109,108,-178.000000,0.050000,100000,105047,1000,28.25296909,2143.46,3,1,1000,2
110,109,3299.000000,0.050000,100000,105402,355,27.68920040,2150.82,3,1,1000,2
111,110,7517.000000,0.050000,100000,106402,1000,28.10587252,2171.43,3,1,1000,2
112,111,-385.000000,0.050000,100000,107402,1000,27.85993506,2191.99,3,1,1000,2
113,112,2977.000000,0.050000,100000,108402,1000,27.51324471,2212.01,3,1,1000,2
114,113,1388.000000,0.050000,100000,109402,1000,27.67666395,2231.56,3,1,1000,2
115,114,4200.000000,0.050000,100000,110402,1000,27.34133260,2252.04,3,1,1000,2
116,115,-11441.000000,0.050000,100000,111402,1000,27.93822586,2272.93,3,1,1000,2
